date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,date,open,high,low
2019-03-15,bitcoin,0.05,0.0,1479446913.04,41874994.70000005,46039895.55,-6960437.530000001,2019-03-15,0.05,0.05,0.05
2019-03-19,bitcoin,0.05,0.0,1556854618.37,10728005.22999978,59189804.1,3825521.289999999,2019-03-19,0.05,0.05,0.05
2019-03-23,bitcoin,0.06,0.009999999999999995,1797682146.4,159060780.06000018,187687245.92,77124088.00999999,2019-03-23,0.05,0.06,0.05
2019-03-27,bitcoin,0.06,0.0,1912322649.54,86878120.80999994,126218530.9,43768668.27000001,2019-03-27,0.06,0.06,0.06
2019-03-31,bitcoin,0.07,0.0,2234931086.4,-11986254.329999924,182155337.54,-30827721.159999996,2019-03-31,0.07,0.07,0.07
2019-04-03,bitcoin,0.08,0.009999999999999995,2643388414.98,392853465.48,327674511.34,185058565.47999996,2019-04-03,0.07,0.08,0.07
2019-04-07,bitcoin,0.09,0.0,2794006323.41,-14474409.630000114,203512085.9,-33550203.199999988,2019-04-07,0.09,0.09,0.09
2019-04-11,bitcoin,0.09,0.009999999999999995,2791934582.17,198235417.76999998,204490716.09,7058443.469999999,2019-04-11,0.09,0.09,0.08
2019-04-15,bitcoin,0.08,0.0,2620859359.2,31139480.68999958,128208294.67,4442625.170000002,2019-04-15,0.08,0.08,0.08
2019-04-19,bitcoin,0.08,0.0,2537199477.77,-39024278.05000019,110382965.73,6723595.560000002,2019-04-19,0.08,0.08,0.08
2019-04-23,bitcoin,0.08,0.009999999999999995,2423028539.1,121413023.51999998,162833809.66,10255399.47999999,2019-04-23,0.08,0.08,0.07
2019-04-27,bitcoin,0.07,0.0,2151061060.36,-5883932.940000057,145817325.34,-24514574.060000002,2019-04-27,0.07,0.07,0.07
2019-04-30,bitcoin,0.06,-0.010000000000000009,1999777250.36,-129552082.19000006,118785543.06,39340607.42,2019-04-30,0.07,0.07,0.06
2019-05-03,bitcoin,0.07,0.0,2117234656.11,-11920710.110000134,150318041.3,-2741435.6599999964,2019-05-03,0.07,0.07,0.07
2019-05-07,bitcoin,0.07,0.0,2069938543.69,28085759.400000095,154332100.9,6213414.1400000155,2019-05-07,0.07,0.07,0.07
2019-05-11,bitcoin,0.06,0.0,1947276773.15,25037981.390000105,161982471.4,17649216.5,2019-05-11,0.06,0.06,0.06
2019-05-15,bitcoin,0.08,0.009999999999999995,2621490905.49,354476093.95999956,332365790.58,102196802.63999999,2019-05-15,0.08,0.08,0.07
2019-05-19,bitcoin,0.08,0.0,2467980727.72,-125524237.71000004,241682031.13,-177586287.14,2019-05-19,0.09,0.09,0.08
2019-05-23,bitcoin,0.08,0.0,2430816641.94,-205119364.02999973,238153710.1,15620009.799999982,2019-05-23,0.09,0.09,0.08
2019-05-27,bitcoin,0.09,0.009999999999999995,2661446279.09,163904775.49000025,183825461.01,57827929.66,2019-05-27,0.08,0.09,0.08
2019-05-31,bitcoin,0.08,-0.009999999999999995,2640985616.98,-187606203.46000004,331448382.08,80507014.21999997,2019-05-31,0.09,0.09,0.08
2019-06-03,bitcoin,0.1,0.010000000000000009,2994934524.86,173523174.5,297353290.1,49149793.25000003,2019-06-03,0.09,0.1,0.09
2019-06-07,bitcoin,0.08,0.0,2610699173.5,26456975.119999886,249770623.68,47917138.610000014,2019-06-07,0.09,0.09,0.08
