date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,date,open,high,low
2020-09-11,bitcoin,1.0,0.0,14437687573.57,101510900.57999992,43935764280.59,8746033578.089996,2020-09-11,1.0,1.0,1.0
2020-09-15,bitcoin,1.0,0.0,14728080925.36,1487983.2200012207,39656336899.97,3414719275.4400024,2020-09-15,1.0,1.0,1.0
2020-09-19,bitcoin,1.0,0.0,15138915464.97,73636823.01000023,39379267435.85,-767200853.7300034,2020-09-19,1.0,1.0,1.0
2020-09-23,bitcoin,1.0,0.0,15207247917.26,-3686609.739999771,33999511557.3,-7574035589.850002,2020-09-23,1.0,1.0,1.0
2020-09-27,bitcoin,1.0,0.0,15280949124.59,82940376.26000023,28820863359.59,-3172756193.720001,2020-09-27,1.0,1.0,1.0
2020-09-30,bitcoin,1.0,0.0,15466015671.65,70509020.39999962,30129035765.95,-897510906.7900009,2020-09-30,1.0,1.0,1.0
2020-10-03,bitcoin,1.0,0.0,15559126337.71,53030007.73999977,33247155372.13,962503918.0400009,2020-10-03,1.0,1.0,1.0
2020-10-07,bitcoin,1.0,0.0,15620630276.22,7160076.799999237,31332353954.91,4343425325.619999,2020-10-07,1.0,1.0,1.0
2020-10-11,bitcoin,1.0,0.0,15705291452.78,76197779.3900013,31103442135.11,-127015241.54999924,2020-10-11,1.0,1.0,1.0
2020-10-15,bitcoin,1.0,0.0,15757276435.16,8073733.920000076,30922872467.02,-182076434.25,2020-10-15,1.0,1.0,1.0
2020-10-19,bitcoin,1.0,0.0,15839841300.26,21301005.23999977,23155968889.67,11692780.419998169,2020-10-19,1.0,1.0,1.0
2020-10-23,bitcoin,1.0,0.020000000000000018,16037428575.94,48790057.67000008,32926083270.94,1591031504.3799973,2020-10-23,1.0,1.0,0.98
2020-10-27,bitcoin,1.0,0.0,16338115218.76,57773898.940000534,35365172506.11,10149164080.400002,2020-10-27,1.0,1.0,1.0
2020-10-31,bitcoin,1.0,0.0,16532183807.74,16117767.62999916,32067020214.58,1532948029.4900017,2020-10-31,1.0,1.0,1.0
