date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,open,high,low
2016-02-27,bitcoin,432.14,5.110000000000014,6593663289.8,79506706.40000057,595150632.37,536825354.73,423.19,432.14,423.14
2016-02-29,bitcoin,436.92,4.1200000000000045,6669535766.07,64371890.78999996,1847224330.9,1301100145.0300002,432.8,436.92,432.8
2016-03-03,bitcoin,420.17,-4.319999999999993,6418406144.7,-64456120.80000019,2737847218.46,685438989.6700001,431.37,431.37,420.17
2016-03-07,bitcoin,413.74,8.829999999999984,6326260439.5,136390941.10000038,2361080396.0,-160684491.17999983,409.41,413.74,397.24
2016-03-11,bitcoin,419.3,3.009999999999991,6417916283.7,47659990.19999981,2440375016.83,274162036.40999985,411.88,419.3,411.88
2016-03-15,bitcoin,415.64,1.0600000000000023,6367983805.88,17806090.130000114,2111129338.31,307252804.03999996,410.8,415.64,410.8
2016-03-19,bitcoin,406.74,-1.5399999999999636,6237403575.85,-22263728.14999962,1764836350.22,-673932945.95,416.54,418.4,406.74
2016-03-23,bitcoin,418.08,1.7199999999999704,6417382984.8,27901606.80000019,1985257305.37,-55785144.61000013,411.88,418.08,411.09
2016-03-27,bitcoin,425.35,8.640000000000043,6535264076.77,134115379.65000057,2326287423.82,722072791.4100001,414.88,425.35,414.88
2016-03-31,bitcoin,415.37,2.769999999999982,6388090244.55,43885308.369999886,1432304098.83,-954977559.4000001,422.76,422.76,412.6
2016-04-03,bitcoin,418.19,-1.4800000000000182,6435354873.38,-21992007.369999886,429476810.4,-204227643.59000003,416.75,419.67,416.75
2016-04-07,bitcoin,421.08,-0.5800000000000409,6486917898.7,-7469978.900000572,593936633.5,66800375.79000002,419.44,422.65,419.44
2016-04-11,bitcoin,422.58,1.4499999999999886,6516847462.2,24008378.05000019,710470936.91,225633973.07,418.47,422.58,416.15
2016-04-15,bitcoin,429.97,5.0400000000000205,6637309897.95,79238732.25,841700526.63,225209788.85000002,426.18,429.97,424.27
2016-04-19,bitcoin,436.37,7.860000000000014,6742483781.0,123094495.39999962,674540887.31,125243312.98999989,430.94,436.37,428.03
2016-04-23,bitcoin,451.82,4.329999999999984,6987975324.3,68535503.5,835075482.69,-409323832.73,441.92,451.82,441.92
2016-04-27,bitcoin,444.79,-23.069999999999993,6885300360.82,-355496415.9800005,1344104894.48,65969955.61000013,459.92,467.86,444.79
2016-04-30,bitcoin,447.9,-8.670000000000016,6938342199.67,-132598169.6800003,577836728.86,-105454896.49000001,449.38,456.57,447.9
2016-05-03,bitcoin,450.3,5.810000000000002,6980741977.5,91833597.30000019,460396814.08,-219398428.28000003,452.59,452.59,444.49
2016-05-07,bitcoin,459.25,-2.3700000000000045,7126736757.2,-35066732.80000019,418352341.34,-473650254.1100001,447.12,461.62,447.12
2016-05-11,bitcoin,452.18,1.8500000000000227,7024148586.0,30349384.85000038,672525013.61,-448568812.9999999,459.28,461.75,450.33
2016-05-15,bitcoin,457.84,2.339999999999975,7118621364.88,37906942.90000057,514727783.65,-25875616.850000024,454.73,457.84,454.73
